CustomerID,FirstName,LastName,Gender,Birthdate,Email,Phone,Country,City,SignupDate,IsSubscribed
1,Daniel,Figueroa,Male,1976-08-30,jillrhodes@miller.com,890.838.6379,Malaysia,Kuala Lumpur,2025-08-16,True
2,Lisa,Smith,Female,1970-11-12,joshua35@gmail.com,615-594-0781,Vietnam,Da Nang,2024-02-02,True
3,Christian,Carter,Male,2002-10-11,janetwilliams@gmail.com,001-413-164-7525x53419,Malaysia,Johor Bahru,2024-07-07,False
4,George,Daniel,Female,1971-02-13,onelson@hotmail.com,+1-350-305-6413,Singapore,Singapore,2025-08-09,False
5,Nancy,Edwards,Male,2004-08-08,pwilkerson@yahoo.com,(423)884-9696,Singapore,Singapore,2025-04-26,True
6,Jeffrey,Bright,Female,1994-09-03,camposmichelle@gmail.com,+1-269-166-9784x8018,Thailand,Phuket,2024-06-11,False
7,Kayla,Peterson,Female,1979-12-21,shawnmckay@hotmail.com,828-148-9325x288,Malaysia,Kuala Lumpur,2024-01-15,False
8,Carol,Burns,Female,1967-08-12,john39@gmail.com,718-227-8248,Vietnam,Hanoi,2022-11-27,True
9,Rodney,Lewis,Male,1996-09-12,raymond57@hayes.com,001-839-301-0310,Malaysia,Johor Bahru,2025-06-26,True
10,Chad,Young,Female,2005-07-10,ambercummings@hotmail.com,001-737-631-1656,Singapore,Singapore,2024-04-23,True
11,Stuart,Daniel,Male,2005-10-27,powellmatthew@wright.net,262.473.1781x080,Thailand,Chiang Mai,2024-08-26,True
12,Sara,Allison,Prefer not to say,1971-04-26,zolson@gmail.com,(606)474-6872,Thailand,Khon Kaen,2023-04-20,True
13,Kenneth,Novak,Female,1999-05-31,brian97@calhoun.net,219-136-1939,Thailand,Bangkok,2023-09-17,True
14,Bernard,Miller,Female,2004-09-25,james53@yahoo.com,(247)510-7991x1838,Malaysia,Kuala Lumpur,2025-06-07,True
15,David,Bailey,Female,1964-09-05,justin78@turner.net,8412411824,Malaysia,Johor Bahru,2024-01-12,True
16,Cassandra,Robbins,Female,1973-11-08,dking@gmail.com,+1-640-052-4278x6801,Malaysia,Johor Bahru,2024-02-07,True
17,Sierra,Vazquez,Female,1970-02-21,brandi26@williams.com,(331)586-9232x260,Singapore,Singapore,2023-03-23,True
18,Jill,Cook,Female,1988-01-07,erik16@garrison.com,543.303.6541x458,Malaysia,Penang,2023-09-01,True
19,Erin,Anthony,Male,1982-07-14,wileyjose@estes.biz,(569)816-9340x608,Thailand,Bangkok,2024-08-08,False
20,Gloria,Bentley,Male,2005-08-20,ryan59@alvarado-martinez.com,465.648.2366x29946,Singapore,Singapore,2025-03-12,True
21,Martha,Torres,Male,1974-04-21,steven73@hotmail.com,214.895.1343x3200,Vietnam,Hanoi,2025-03-27,False
22,Tracey,Carr,Male,1964-12-15,kmercado@gmail.com,001-676-320-1632x870,Malaysia,Penang,2023-12-12,True
23,John,Charles,Female,1991-01-23,jcontreras@stewart.net,(872)774-3487x34714,Vietnam,Hanoi,2025-04-10,True
24,Joseph,Flores,Male,1996-10-03,edwardreyes@mccarthy.biz,(587)603-6690x96705,Singapore,Singapore,2023-11-26,True
25,Karen,Castaneda,Female,1988-07-06,brobinson@johnson-rogers.biz,001-272-980-6990x1627,Thailand,Bangkok,2024-03-04,True
26,Brent,Gray,Male,1974-05-27,matthew64@yahoo.com,170-805-3100x330,Vietnam,Hanoi,2023-09-05,False
27,Elijah,Martinez,Male,2005-07-22,stevenscott@jackson-lawson.com,001-241-904-9663x19314,Vietnam,Hanoi,2025-07-19,True
28,Linda,Hogan,Female,1998-07-06,amanda51@holland.info,657-262-8498,Thailand,Khon Kaen,2025-06-16,False
29,Steven,Petersen,Male,2000-04-26,melissa14@yahoo.com,799.650.7527,Thailand,Bangkok,2024-12-17,False
30,Michael,Green,Female,1979-01-11,blackjames@gmail.com,001-678-377-7014x3634,Thailand,Chiang Mai,2023-10-22,True
31,Miguel,Tran,Male,1983-05-24,michael74@yahoo.com,313-518-2337x498,Singapore,Singapore,2025-05-18,True
32,Justin,Garcia,Female,1973-03-17,michaelturner@hotmail.com,+1-240-084-2710,Thailand,Bangkok,2025-06-11,True
33,Justin,Mendoza,Female,1983-03-09,kingmichelle@short.info,902-294-1318,Thailand,Chiang Mai,2025-05-06,True
34,Catherine,Gibbs,Female,1975-05-11,tkerr@hotmail.com,(499)091-3341x23281,Vietnam,Hanoi,2024-09-03,True
35,Aaron,Hayes,Non-binary,2000-05-29,antonio44@hotmail.com,134.936.1832x421,Vietnam,Ho Chi Minh City,2023-07-28,False
36,Gabriel,Parker,Female,1998-09-25,smartinez@yahoo.com,001-648-877-1906x594,Vietnam,Hanoi,2023-02-27,True
37,Christopher,Hayden,Male,1999-02-21,barbara27@pearson.org,(717)565-5125x67468,Thailand,Phuket,2023-01-06,True
38,Shawn,Edwards,Female,1981-12-31,ahancock@booth.net,(977)034-8247x710,Singapore,Singapore,2023-01-23,True
39,Chelsea,Allen,Male,1970-10-11,tranchristopher@gmail.com,127.484.6773x782,Thailand,Chiang Mai,2025-08-01,True
40,James,Greene,Male,1969-04-15,kendra65@adams.org,001-727-875-5886,Thailand,Bangkok,2024-07-14,True
41,Sarah,Kane,Female,2007-06-19,xhall@williams-garner.biz,(270)289-5171x8702,Malaysia,Kuala Lumpur,2024-11-03,True
42,Monica,Booker,Male,1965-02-02,matthew61@yahoo.com,+1-865-780-9134x31611,Singapore,Singapore,2024-08-24,False
43,Garrett,Evans,Male,1961-12-20,laura45@jordan-sanchez.biz,001-222-196-9379,Thailand,Khon Kaen,2024-10-16,True
44,Jesse,Little,Female,1991-04-10,nolansteven@yahoo.com,+1-821-759-4647x43671,Singapore,Singapore,2023-07-07,True
45,Patrick,Howard,Female,1980-02-18,spencedominique@yahoo.com,9097439533,Singapore,Singapore,2023-11-30,True
46,John,Campos,Male,2004-11-09,bergerdebbie@kramer-johnson.com,001-214-562-3285x8842,Malaysia,Johor Bahru,2025-07-18,True
